uuid,ord_in_thread,author,published,title,text,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type,Neutral
fd2c048d7e03f7260a8d75725b0441c627578f1a,0,EdJenner,2016-11-10T02:37:06.677+02:00,"NOT KIDDING: Colleges Give Students ‚ÄúSafe Spaces‚Ä?To Cry Over Trump Win‚Ä¶Threaten Students Over Pro-Trump ‚ÄúChalkings‚Ä?""Students expressed their ‚Äúfear‚Ä?over a Trump presidency in messages to each other that were being shared on Twitter today: ‚ÄúLiterally scared for their lives‚Ä?is the new ‚Äúliterally Hitler‚Ä? #NotMyPresident pic.twitter.com/8cKfQdF2Ce ",,,,,,,,,,,,,,,,
f0b221ac2a32d3f533ab5e097883b5bd19924033,0,Fed Up,2016-11-11T15:13:00.000+02:00,"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] ¬ª 100percentfedUp.com","Copyright ¬© 2016 100PercentFedUp.com, in association with Liberty Alliance | All rights reserved. Proudly built by WPDevelopers . STAY IN THE LOOP Sign up for our email newsletter to become a 100% Fed Up insider. Subscribe ",english,2016-11-11T16:41:40.949+02:00,100percentfedup.com,US,25689,"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] ¬ª 100percentfedUp.com",0,http://100percentfedup.com/wp-content/uploads/2016/11/reagan.jpg,0,0,0,0,0,bias,Neutral
3836cd38353373b7d934a7e25e5888876958f94a,0,EdJenner,2016-11-20T03:53:12.132+02:00,LOL! BRITISH WIFE Of LIB ACTOR Who Said: ‚ÄúThere Will Never Be A President Donald Trump‚Äù‚Ä¶Warns Americans About President-Elect Trump [VIDEO],"Go to Article 
Political activist and Hillary supporter Amal Clooney traveled to Texas to warn Americans about our elected President Donald J. Trump and his tough immigration policies. Maybe she didn‚Äôt get the memo‚Ä¶Trump‚Äôs tough immigration stance is what catapulted him to the top of the heap in the crowded pack of GOP primary contenders. It wasn‚Äôt too long ago that her arrogant liberal husband announced with great confidence, ‚ÄúThere will never be a President Trump‚Ä? 
Perhaps Amal should‚Äôve traveled to some of the border towns if she wanted to get a clear picture of how illegal immigration is affecting our nation. Aliens crossing our borders illegally have destroyed the property of American ranchers, and threatened the safety and security of American citizens living in homes in or near the US -Mexican border towns‚Ä?
Amal Clooney has warned that many of president-elect Trump‚Äôs proposals would be ‚Äòviolations of international law.‚Ä?
Speaking at the Texas Conference For Women at the Austin Convention Center on Tuesday, the international human rights lawyer, and wife of George Clooney, said she had concerns about America‚Äôs reputation under the real estate mogul‚Äôs plans. 
She noted that Trump‚Äôs comments during his campaign, ‚Äòthat there should be a religious test imposed on entering the U.S. or the fact that there should be state-sponsored torture or that families of suspected terrorists should all be killed ‚Ä?all of those things are violations of international human rights law and the values that underlie that.‚Ä?
The 38-year-old wife said America‚Äôs reputation as a country with a strong human rights record and high moral standing was at risk. 
‚ÄòI think there‚Äôs some concern from abroad as to, ‚ÄúAre these things actually going to happen?‚Ä? or is the U.S. going to lose some of the moral standing that it has internationally,‚Ä?according to the Hollywood Reporter. 
Perhaps its time to put our nation‚Äôs security and sovereignty before we worry about what people in other countries around the world think of us‚Ä?
Both Amal and her Hollywood actor husband George, a staunch Hillary Clinton supporter, have spoken out against Trump in the past. 
Earlier this year, Amal Clooney called for Trump to be challenged on his extreme views. 
Watch George Clooney here whine about press giving Trump too much favorable press: 
‚ÄòWhen you listen to what the leading candidate on the Republican side has been saying about building walls, about excluding Mexicans and a complete shutdown of all Muslims entering in, and if you actually look at what he specifically said in that now infamous speech about Muslims, he kept saying, ‚ÄòThey only want jihad. They don‚Äôt believe in our way of life. They don‚Äôt respect our system,‚Ä?Clooney said. Via: Daily Mail  ",english,2016-11-20T03:53:12.132+02:00,100percentfedup.com,US,25689,LOL! BRITISH WIFE Of LIB ACTOR Who Said: ‚ÄúThere Will Never Be A President Donald Trump‚Äù‚Ä¶Warns Americans About President-Elect Trump [VIDEO],0,http://conservativeangle.com/wp-content/uploads/2016/11/2574659-thumb.jpg,0,1,0,0,0,bias,Negative
8a35883f9c9f0b15a9e20ab8711d403d91d57405,0,Jimmy Rustling,2016-10-27T13:00:00.000+03:00,The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory - ABC News,"18 SHARE The Amish in America have committed their vote to Donald Trump guaranteeing him the Presidency. (AP Photo / Dennis System) 
COLUMBUS, OH (AP) ‚Ä?History was made today in Columbus, Ohio when more than 3 million Amish poured into the city to see the American Amish Brotherhood (AAB), an organization which acts as an informal governing body for the Amish community, endorse Donald Trump for president. That number represents a significant portion of the total Amish population, which the United States Census Bureau says numbers more than 20 million men and women nationwide all pledging their vote to Trump for President. With the full force of the Amish community behind him, Donald Trump is now mathematically guaranteed to win the presidency in November. 
The organization typically meets once a year and the meetings usually consist of about 300 Amish leaders who meet to discuss the challenges, such as urban sprawl, that face the community. This year, however, the organization wanted as many people in attendance as possible so they can effectively instruct all Amish men and women of legal voting age to cast their vote for the flamboyant Republican nominee. 
The Amish, who are direct descendants of the protestant reformation sect known as the Anabaptists, have typically stayed out of politics in the past. As a general rule, they don‚Äôt vote, serve in the military, or engage in any other displays of patriotism. This year, however, the AAB has said that it is imperative that they get involved in the democratic process. 
‚ÄúOver the past eight years, the Democratic Party has launched a systematic assault on biblical virtues,‚Ä?said AAB chairman Menno Simons. ‚ÄúWe have seen more and more Christians being persecuted for their faith; we have seen the state defile the institution of marriage. Now, they want to put a woman in the nation‚Äôs highest leadership role in direct violation of 1 Timothy 2:12. We need to stop this assault and take a stand for biblical principles. Donald Trump has shown in both action and deed that he is committed to restoring this country to the Lord‚Äôs way.‚Ä?
According to statistician Nate Silver of the website fivethirtyeight.com, there are no possible scenarios in which Hillary Clinton can win with Donald Trump carrying the Amish vote. 
‚ÄúThe Amish have their highest numbers in perennial swing states like Pennsylvania, Virginia, Ohio, Indiana, and Iowa,‚Ä?Silver noted. ‚ÄúThey also have strong numbers in reliably Democratic states like Michigan, Illinois, and New York, meaning that Hillary will lose those states as well. There is also a sizeable community in Florida which, while not as large as it is in the Midwest, is still large enough to turn Florida for Trump. Over the next two weeks, you can expect Hillary to enter into a state of freefall in all of my predictive models.‚Ä?
The Clinton campaign issued a written statement to the AAB asking them to reconsider their decision. 
‚ÄúI don‚Äôt believe that Donald Trump is the person who best represents your interests,‚Ä?Clinton wrote to the AAB. ‚ÄúAs a career real estate developer, he represents a clear threat to your simple way of life. As former first lady of Arkansas, I understand the concerns of rural Americans more than any candidate in this election. I implore you to consider all of the facts before voting for my opponent.‚Ä?
Most pundits believe that Mrs. Clinton‚Äôs plea is too little too late. 
During a press conference in Manhattan, Trump thanked the AAB for their support and promised to put the Amish to work maintaining government buildings, which he said would save taxpayers millions because ‚Äúthe Amish do great work for a very low price.‚Ä?
Though Clinton has pledged to stay in the race until the very end, many of her campaign workers have already resigned. According to the Associated Press, it is expected that the Clinton campaign will lose 50% of its staff over the next two weeks. There is a general mood of hopelessness and despair in the Clinton camp, and many simply want to cut their losses. 
‚ÄúIt looked like she was going to win this election easily,‚Ä?said Paul Horner, a campaign worker in Ohio, ‚ÄúBut this is what happens when you wake a sleeping giant. Cleary, Mrs. Clinton took far too much for granted in this race, and we are all now paying the price. It‚Äôs really sad to see the campaign end this way.‚Ä?
If you are interested in learning more about the Amish community and the AAB, you can contact the Pennsylvania Amish Heritage Museum at (785) 273-0325. TAGS ",english,2016-10-27T15:50:22.818+03:00,abcnews.com.co,CO,65078,The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory - ABC News,0,http://abcnews.com.co/wp-content/uploads/2016/10/The-Amish-vote-for-donald-Trump.jpg,0,0,0,0,0,fake,Negative
32b8a10c927682a608bd3b88147c357b8807eaeb,0,tokyowashi (noreply@blogger.com),2016-10-29T15:58:39.811+03:00,FBI Weiner Probe Reopens Hillary Clinton Investigation - Clinton Foundation Pay to Play for Israeli Pork Is Not Kosher - President Trump Will Make America Great Again #MAGA,"
EXCLUSIVE #Breaking FBI Reopens Investigation! ""Hillary Caught Selling Political Favors to Israel""?   
Victurus Libertas Published on Oct 28, 2016 

The FBI was investigating Anthony Weiner and Kim Dotcom when they found the Israeli pay to play emails on Weiner's computer. It's very serious. The FBI will be charging Hillary Clinton with planning to engage in pay to play after she had won the election. It's technically treason. Weiner was bragging that he had set up the Israeli deal. HRC was to get $100 million for the Clinton Foundation, for increasing Israeli aid by double! That's $38 billion more than today! Huma Abedin helped set the deal up. 


HILLARY GOT SCHLONGED! LOOK WHAT ANTHONY WEINER JUST SHOVED RIGHT BACK IN HER FACE‚Ä?  
REPORT: INVESTIGATION INTO ANTHONY WEINER LED FBI TO NEW PROBE OF CLINTON'S EMAILS   
Donald Trump Unloads on Hillary, Huma Abedin & Anthony Weiner   
""You're a Real Scumbag, Anthony""  


Related: 

Rothschild Globalist Cartel Owns Healthless Hillary Clinton   

Clinton Foundation's Huma Abedin Has Run ""Human Trafficking in Unpaid Interns""   

Billionaire Degenerate Jeffrey Epstein's Underage Sex Slave Scandal Taints Hillary and Jeb - Clinton‚ÄìBush Pedophilia Coverup - Mossad Blackmail Influence Over Leading Politicians - Robert & Ghislaine Maxwell - Jane Doe 102 - Epstein's Sweetheart Deal: Celebrity Lawyers Alan Dershowitz, Kenneth Starr, Roy Black - ""Little St. James"": The Name of Jeffrey Epstein's ""Egg-Shaped Penis""?   

The Situation Is So Intense, It Involves the Entire US Government | FBI Insider   

*EXPLOSIVE* Q & A on the Clinton Foundation - FBI Insider on 4chan /pol/ : ""Ask Me Anything About the Clinton Case"" - George Soros Is the Kingpin - Follow the Rothschild Thread - Clinton Foundation Uses People as Currency - Jeffrey Epstein's Child Sex Trafficking Network - Bill & Hillary Clinton Get Paid in Money & Children - Hammer HRC's E-mails, Dig Into the CF: Post Everywhere You Can   ",english,2016-10-29T15:58:39.811+03:00,abeldanger.net,US,,FBI Weiner Probe Reopens Hillary Clinton Investigation - Clinton Foundation Pay to Play for Israeli Pork Is Not Kosher - President Trump Will Make America Great Again #MAGA,0,,1,1,0,0,0,bs,Negative
088ddf580942133f16728aa4773e94bcc26bcfc0,0,apoc36,2016-10-27T02:54:41.397+03:00,Kids being made to vote for President in School,"Kids being made to vote for President in School page: 1 link I live in West Virginia. My kids came home today from school and was talking about voting at school for the next President. They explained something similar to a ballot. Where they had to put a check mark beside who they wanted as President along with their home address and signature. I have never heard of this , as my kids have never had to do this before or was I notified that my kids would be voting. My kids are age 11 and 9, 1 in grade school and another in middle / jr high school. I asked them if they were given any documentation from school about the nominees. They showed me 1 paper that spoke about all of Hillary's achievements and on the back it shows Trumps. However the paper seemed biased speaking of Hillary's accomplishments and barely spoke of Trump other than he built a few buildings and was on a tv show. I do not own a actual camera other than my phone. So the pic is bit blurry. Picture of Document Again sorry for the blurry picture. My kids have been going to school here all their lives. I have never seen this before, might be something new. Has anyone else seen this before? edit on pmp20162016-10-26T18:08:54-05:0036 by apoc36 because: (no reason given) link originally posted by: apoc36 I live in West Virginia. My kids came home today from school and was talking about voting at school for the next President. They explained something similar to a ballot. Where they had to put a check mark beside who they wanted as President along with their home address and signature. I have never heard of this , as my kids have never had to do this before or was I notified that my kids would be voting. My kids are age 11 and 9, 1 in grade school and another in middle / jr high school. I asked them if they were given any documentation from school about the nominees. They showed me 1 paper that spoke about all of Hillary's achievements and on the back it shows Trumps. However the paper seemed biased speaking of Hillary's accomplishments and barely spoke of Trump other than he built a few buildings and was on a tv show. I do not own a actual camera other than my phone. So the pic is bit blurry. [url=http://postimg.org/image/v35tvwykv/]Blurry Picture of _/url] Again sorry for the blurry picture. My kids have been going to school here all their lives. I have never seen this before, might be something new. Has anyone else seen this before? This has been done for years. I remember it happening when I was in 2nd grade more than 40 years ago. I have heard that polling grade school children on Presidential elections is actually more accurate than 'scientific polls'. Children tend to hear what their parents opinions are on the subject without all the filters. They subconsciously 'vote' the way their parents will vote (supposedly).",english,2016-10-27T02:54:41.397+03:00,abovetopsecret.com,US,18533,Kids being made to vote for President in School,0,http://files.abovetopsecret.com/images/ats4.jpg,0,1,0,0,0,bs,Neutral
5728857f1236aa78f8ddac7e5175bf3c99461154,0,xuenchen,2016-10-28T02:09:15.029+03:00,Goldman Sachs Endorses Hillary Clinton For President,"Well finally we have the big global Business/Bank Goldman Sachs officially endorsing Hillary Clinton for President !! They have been giving her money and paying for speeches for some time now. Get ready for Hillary's *actual* policies to kick in if and when she gets elected. Ironic. GS has been a target of political activism for years. Now they can bank on Hillary protecting them. Goldman Sachs Endorses Hillary Clinton For President He‚Äôs with her. On Sunday, former Secretary of State Hillary Clinton earned the endorsement of Goldman Sachs CEO Lloyd Blankfein‚Äîan endorsement she had been working toward for years. As was revealed by Wikileaks, Hillary Clinton spent the run up to her presidential campaign giving speeches to Goldman Sachs and other Wall Street banks, where she praised their talents and explained her positions on financial regulation. On October 24, 2013, Clinton told Goldman Sachs that Dodd-Frank had to be done mostly for ‚Äúpolitical reasons‚Ä?because Congress needed to look like it was doing something about the crisis. She said, ‚ÄúThere‚Äôs nothing magic about regulations, too much is bad, too little is bad. How do you get to the golden key, how do we figure out what works? And the people that know the industry better than anybody are the people who work in the industry.‚Ä?The anti-Bernie anti-Thesis",english,2016-10-28T02:09:15.029+03:00,abovetopsecret.com,US,18533,Goldman Sachs Endorses Hillary Clinton For President,0,http://files.abovetopsecret.com/images/ats11.jpg,0,1,0,0,0,bs,Negative
7640ebe6da35bd243e0eca656fee4e99b792c14e,0,Activist Post,2016-10-31T16:47:16.022+02:00,"Cancer, Cancer Everywhere ‚Ä?But Not In The Presidential Suite","By Janet Phelan A recent cancer symposium, with a surgical focus, met in Boston to discuss how surgical oncology is experiencing ‚Äúan exciting evolution and... ",english,2016-10-31T16:47:16.022+02:00,activistpost.com,US,37161,"Cancer, Cancer Everywhere ‚Ä?But Not In The Presidential Suite",0,,0,1,0,0,0,conspiracy,Negative
3fe5e76edbc1ddb69635795777c340301e5f05ca,0,ActivistPost,2016-11-02T18:10:34.257+02:00,"If Russia Can Rig the US Presidential Election, So Can An Insider",By Vin Armani Hillary Clinton continues to blame Russia for the email leak even though it doesn‚Äôt matter who leaked the damning emails if they... ,english,2016-11-02T18:10:34.257+02:00,activistpost.com,US,37161,"If Russia Can Rig the US Presidential Election, So Can An Insider",0,,0,1,0,0,0,conspiracy,Negative
2ca77a341a3e26e3f842f2804aef1ecf62ba90f6,0,,2016-11-05T18:01:00.000+02:00,California Secessionists to Meet at Capitol Day After Presidential Election,"
By Joseph Jankowski 
An organization which has the aim to separate the state of California from the Union of the United States is set to hold a meeting at the state capitol in Sacramento on Wednesday, November 9, 2016, the day after the presidential election. 
The Yes California Independence Campaign , which is based in San Diego, describes itself as a ‚Äúnonviolent campaign to establish the country of California using any and all legal and constitutional means to do so.‚Ä?
The group is currently trying to qualify a citizen‚Äôs initiative in 2018 to get a referendum for secession on the ballot in 2019, reports SF Gate . They will be in Sacramento in hopes to gather support for the state‚Äôs exit, or the ‚ÄúCalexit,‚Ä?as they call it. 
‚ÄúIn our view, the United States of America represents so many things that conflict with Californian values, and our continued statehood means California will continue subsidizing the other states to our own detriment, and to the detriment of our children,‚Ä?reads Yes California ‚Äôs official website. 
The group‚Äôs page reads on: 
Although charity is part of our culture, when you consider that California‚Äôs infrastructure is falling apart, our public schools are ranked among the worst in the entire country, we have the highest number of homeless persons living without shelter and other basic necessities, poverty rates remain high, income inequality continues to expand, and we must often borrow money from the future to provide services for today, now is not the time for charity. However, this independence referendum is about more than California subsidizing other states of this country. It is about the right to self-determination and the concept of voluntary association, both of which are supported by constitutional and international law.
It is about California taking its place in the world, standing as an equal among nations. We believe in two fundamental truths: (1) California exerts a positive influence on the rest of the world, and (2) California could do more good as an independent country than it is able to do as a just a U.S. state. 
Yes California ‚Äôs website lays out 9 different points covering topics the group believes will benefit from a California exit from the US, including education, peace and security, debt and taxes and immigration. 
One blog post on their page draws parallels with a ‚ÄúCalexit‚Ä?and the recent referendum known as ‚ÄúBrexit‚Ä?that passed in the UK in June which showed that most British people are ready for their country to leave the EU. 
The push for secession is nothing new to California. In 1941 the mayor of Port Orford, Oregon, Gilbert Gable, proposed the idea to push the Oregon counties of Curry, Josephine, Jackson, and Klamath to join with the California counties of Del Norte, Siskiyou, and Modoc to form a new state, later named Jefferson. 
Modoc County of Northern California voted in 2013 to join neighboring Siskiyou County in a push to secede from the State of California . 
In 2014, two counties in northern California petitioned for the right to form a 51st State of America, which they also wanted to name Jefferson. 
Joseph Jankowski is a contributor for Planet Free Will.com . His works have been published by recognizable alternative news sites like GlobalResearch.ca, ActivistPost.com, Mintpressnews.com and ZeroHedge.com. 
Follow Planet Free Will on Twitter @ twitter.com/PlanetFreeWill 
Subscribe to our newsletter ‚Ä?The Information Leak 
Photo Credit: US National Flag and California State Flag, City Hall, Santa Monica (Ed Uthman/ Flickr ) Activist Post Daily Newsletter Subscription is FREE and CONFIDENTIAL Free Report: 10 Ways to Survive the Economic Collapse with subscription ",english,2016-11-05T19:08:49.013+02:00,activistpost.com,US,37161,California Secessionists to Meet at Capitol Day After Presidential Election,0.029,http://www.activistpost.com/wp-content/uploads/2016/11/california-secession.jpg,0,0,0,0,0,conspiracy,Neutral
