uuid,ord_in_thread,author,published,title,text,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type,Neutral
7cf7c15731ac2a116dd7f629bd57ea468ed70284,0,Fed Up,2016-11-01T05:22:00.000+02:00,"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!"" 禄 100percentfedUp.com",Email Kayla Mueller was a prisoner and tortured by ISIS while no chance of release鈥 horrific story. Her father gave a pin drop speech that was so heartfelt you want to give him a hug. Carl Mueller believes Donald Trump will be a great president鈥pic speech! 9.0K shares ,english,2016-11-01T15:46:26.304+02:00,100percentfedup.com,US,25689,"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!"" 禄 100percentfedUp.com",0.068,http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg,0,0,0,0,0,bias,Neutral
0206b54719c7e241ffe0ad4315b808290dbe6c0f,0,Fed Up,2016-11-01T21:56:00.000+02:00,FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! 禄 100percentfedUp.com,"Email HEALTHCARE REFORM TO MAKE AMERICA GREAT AGAIN 
Since March of 2010, the American people have had to suffer under the incredible economic burden of the Affordable Care Act鈥擮bamacare. This legislation, passed by totally partisan votes in the House and Senate and signed into law by the most divisive and partisan President in American history, has tragically but predictably resulted in runaway costs, websites that don鈥檛 work, greater rationing of care, higher premiums, less competition and fewer choices. Obamacare has raised the economic uncertainty of every single person residing in this country. As it appears Obamacare is certain to collapse of its own weight, the damage done by the Democrats and President Obama, and abetted by the Supreme Court, will be difficult to repair unless the next President and a Republican congress lead the effort to bring much-needed free market reforms to the healthcare industry. 
Congress must act. Our elected representatives in the House and Senate must: 
1. Completely repeal Obamacare. Our elected representatives must eliminate the individual mandate. No person should be required to buy insurance unless he or she wants to. 
2. Modify existing law that inhibits the sale of health insurance across state lines. As long as the plan purchased complies with state requirements, any vendor ought to be able to offer insurance in any state. By allowing full competition in this market, insurance costs will go down and consumer satisfaction will go up. 
3. Allow individuals to fully deduct health insurance premium payments from their tax returns under the current tax system. Businesses are allowed to take these deductions so why wouldn鈥檛 Congress allow individuals the same exemptions? As we allow the free market to provide insurance coverage opportunities to companies and individuals, we must also make sure that no one slips through the cracks simply because they cannot afford insurance. We must review basic options for Medicaid and work with states to ensure that those who want healthcare coverage can have it. TRENDING ON 100% Fed Up ",english,2016-11-01T23:59:42.266+02:00,100percentfedup.com,US,25689,FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! 禄 100percentfedUp.com,0.865,http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg,0,0,0,0,0,bias,Neutral
b4bbf8b5c19e8864f5257832a58b81ef4ed2d4e4,0,Fed Up,2016-11-05T01:19:00.000+02:00,WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO] 禄 100percentfedUp.com,"BREAKING! NYPD Ready To Make Arrests In Weiner Case鈥illary Visited Pedophile Island At Least 6 Times鈥oney Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information 
The amazing citizen journalist Mike Cernovich broke this story this morning at Danger and Play . Florida residents have been complaining that they鈥檙e not getting their absentee ballots. Chelsey Marie Smith, was working full-time at Broward County Supervisor of Elections main office blew the whistle on the voter fraud scheme: LIVE on #Periscope : Breaking news! Voting fraud uncovered in Florida #MAGA3X https://t.co/q7jeEz6Rgh 
鈥?Mike Cernovich 馃嚭馃嚫 (@Cernovich) November 4, 2016 
The Florida State Attorney is actively investigating the fraud case that involves Secretary of Elections Brenda Snipes: Source: FL State Attorney investigators are actively reviewing Broward County Voter Fraud Case 
鈥?Jack Posobiec 馃嚭馃嚫 (@JackPosobiec) November 4, 2016 

Democrat Dr. Brenda Snipes was appointed by Jeb Bush in 2003 and is no stranger to controversy. On October 20, the Sun Sentinal reported that former Oakland Park Commissioner Anne Sallee noticed something troubling about her vote-by-mail ballot. It is missing Constitutional Amendment 2, the medical marijuana question. 
Sallee, now Broward chapter director of the Florida Restaurant and Lodging Association, knows her way around government. Yet she said she spent a week unsuccessfully trying to get someone at the Broward elections office to pay attention to her complaint. 
She was cleared on Wednesday of another election snafu, the early posting of primary election results. Her office also was criticized for sending out inaccurate voter ID cards, and for printing ballots for November that include the word 鈥渘o鈥?in the 鈥測es鈥?line on the county鈥檚 transportation sales surtax question. 
There were multiple reports that Hillary personally met with Brenda Snipes days ago: There were multiple reports Hillary personally met with Brenda Snipes days ago. No photos, but where there's smoke鈥?
鈥?Jack Posobiec 馃嚭馃嚫 (@JackPosobiec) November 4, 2016 
According to a former Secretary of Elections Department employee, there is a secret room where Democrat insiders fill out those absentee ballots. 
The woman provided her sworn testimony via affidavit. 
The affidavit by Chelsey Marie Smith accuses Broward County officials of filling out blank absentee ballots to officials who she saw filling the ballots out at the Supervisor of Elections headquarters. Via: GP Page 1: ",english,2016-11-05T05:59:07.458+02:00,100percentfedup.com,US,25689,WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO] 禄 100percentfedUp.com,0.188,http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg,0,0,0,0,0,bias,Neutral
f54d8e13010d0a79893995ee65360ad4b38b5a35,0,Fed Up,2016-11-07T02:43:00.000+02:00,"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump""鈥urn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO] 禄 100percentfedUp.com","Email 
These people are sick and evil. They will stop at NOTHING to get their way. Laws mean nothing to them, because they mean nothing to their President and his regime鈥?
A California man says a stranger hurled expletives and set his truck on fire Thursday after seeing a pro-Donald Trump sticker on the bumper. 
Hao Lee had taken his 2-year-old son fishing on a pleasant November afternoon in Sacramento. He parked his white Dodge Ram truck with a pair of Trump stickers on the bumper along Garden Highway. 
鈥淎bout a couple hours into fishing I heard someone yelling out 鈥楩鈥?Trump,鈥?Lee told KTXL. 
Lee and his son were only about 50 yards from where his truck was parked, near the edge of the river. TRENDING ON 100% Fed Up ",english,2016-11-07T10:20:27.252+02:00,100percentfedup.com,US,25689,"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump""鈥urn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO] 禄 100percentfedUp.com",0.995,http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg,0,0,0,0,0,bias,Neutral
fd2c048d7e03f7260a8d75725b0441c627578f1a,0,EdJenner,2016-11-10T02:37:06.677+02:00,"NOT KIDDING: Colleges Give Students 鈥淪afe Spaces鈥?To Cry Over Trump Win鈥hreaten Students Over Pro-Trump 鈥淐halkings鈥?""Students expressed their 鈥渇ear鈥?over a Trump presidency in messages to each other that were being shared on Twitter today: 鈥淟iterally scared for their lives鈥?is the new 鈥渓iterally Hitler鈥? #NotMyPresident pic.twitter.com/8cKfQdF2Ce ",,,,,,,,,,,,,,,,
c8d4c0a88af223f1b41e3e966ecd98ceb22ab5fb,0,Fed Up,2016-11-10T15:38:00.000+02:00,BOOM! MATH SHOWS Trump Would Have Beaten Obama In Romney-Obama Election 禄 100percentfedUp.com,"Email For Republican politicians like Ohio Governor John Kasich who refused to get behind Donald J. Trump鈥t turns out Trump was right鈥e didn鈥檛 need you. In spite of the massive media force who came out against him, and the 鈥榥ever Trumpers鈥?from his own party who worked very hard to defeat him, if Obama was running against Donald J. Trump today, Trump would have beaten him鈥?
It鈥檚 easy to glance at Tuesday鈥檚 popular vote 鈥?which, with 92 percent of all precincts reporting, shows Hillary Clinton with six million fewer votes than Barack Obama won in 2012 鈥?and reach the conclusion that Clinton lost the White House because she failed to turn out the Democratic base. But the truth is much more complicated. While she underperformed relative to Obama鈥檚 2012 totals in several Midwestern states 鈥?Ohio, Michigan, Iowa, and Wisconsin 鈥?Clinton ran virtually even with Obama in the battlegrounds of Pennsylvania, North Carolina, Virginia, Nevada, and New Hampshire. What鈥檚 more, she far surpassed Obama鈥檚 2012 vote total in Florida, the country鈥檚 biggest swing state. Yet somehow, while Obama carried Florida, Clinton lost it. Which brings us to an important question: Was Donald Trump just good enough to beat a bad Democratic opponent on Tuesday, or does he deserve far more credit? Could he, for instance, have competed with the vaunted Obama machine? The answer, somewhat shockingly, is yes. 
A review of vote totals in the past two elections reveals that Trump 2016 would have defeated Obama 2012 in the electoral college. (Disclaimer: This obviously is an apples-to-oranges exercise because no two elections are the same, nor are any two electorates. Still, unlike debating whether the 2016 Cubs would defeat the 1927 Yankees, this is not an entirely abstract argument; a comparison of their respective performances in the country鈥檚 most competitive states shows Trump edging Obama in a hypothetical head-to-head matchup.) The math might seem impossible. After all, Obama won nearly 66 million votes in 2012; Trump is currently at 59.5 million and should finish around 60 million, which will actually be one million fewer votes than Mitt Romney won. How, then, could Trump have topped Obama in the electoral college? The answer: Republican turnout lagged in certain parts of the country but shot through the roof in the nation鈥檚 most critical battleground states. Let鈥檚 look at them individually, in descending order by population, and do the electoral-vote math. The 2016 totals aren鈥檛 yet final because not all precincts have reported. 
FLORIDA 鈥?29 EVs 鈥?98 percent reporting 
Obama 2012: 4,235,270 
Clinton 2016: 4,485,745 TRENDING ON 100% Fed Up ",english,2016-11-10T16:25:14.079+02:00,100percentfedup.com,US,25689,BOOM! MATH SHOWS Trump Would Have Beaten Obama In Romney-Obama Election 禄 100percentfedUp.com,0.001,http://100percentfedup.com/wp-content/uploads/2016/11/us-election-map.jpg,0,0,0,0,0,bias,Neutral
a9efba05a81e5b106ac2a4b12bd39615e402bfb9,0,EdJenner,2016-11-12T06:16:03.318+02:00,TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering Anti-Trump Rioters [Video],Go to Article A Trump supporter wearing a Trump/Pence t-shirt let it fly on a reporter from MSNBC because of his one sided reporting and the demonizing of Trump. This is one brave woman! New Yorkers have had enough of the protests and violence! 鈥?@calmsnbc is having an interesting day. pic.twitter.com/EMelMQamAU,english,2016-11-12T06:16:03.318+02:00,100percentfedup.com,US,25689,TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering Anti-Trump Rioters [Video],0,http://conservativeangle.com/wp-content/uploads/2016/11/2543787-thumb.jpg,0,1,0,0,0,bias,Negative
13e3e1983787c76876e9e5d095e73ef8cee1628a,0,Fed Up,2016-11-10T08:41:00.000+02:00,TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won [VIDEO] 禄 100percentfedUp.com,"Copyright 漏 2016 100PercentFedUp.com, in association with Liberty Alliance | All rights reserved. Proudly built by WPDevelopers . STAY IN THE LOOP Sign up for our email newsletter to become a 100% Fed Up insider. Subscribe ",english,2016-11-12T15:52:41.900+02:00,100percentfedup.com,US,25689,TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won [VIDEO] 禄 100percentfedUp.com,0.268,http://100percentfedup.com/wp-content/uploads/2016/11/Tomi.jpg,0,0,0,0,0,bias,Neutral
162b39e6518af4e591acdd65d719b4f858596b3e,0,EdJenner,2016-11-12T19:55:23.883+02:00,#BoycottComedian鈥OBERT DENIRO Wanted 鈥淭o Punch Trump In The Face鈥濃�upports Anti-Trump Rioters鈥ow Wants Americans To Support His New Movie [VIDEO],"Go to Article Donald Trump was willing to give up a very fulfilling life that took decades to build, so he could step up and take control of an out of control government. He and his family have already sacrificed so much because he chose to put his country first. Making sacrifices is certainly not something loudmouth liberals like Robert DeNiro are accustomed to. DeNiro was very vocal about his opposition to the wildly successful business man Donald J. Trump. He felt so strongly about his hate for Trump that made a video where he angrily stated he鈥檇 like to, 鈥減unch him in the face.鈥?Now that Trump won the election in a landslide, DeNiro has chosen to get behind the Trump rioters who are terrorizing cities across America. Anti-Trump rioters are breaking windows, using baseball bats to smash the windshields of innocent citizens who get trapped in their hellish protests as they try to escape. Women who are taking part in the protests are being punched in the faces by men who are also taking part in the George Soros funded protests. American flags are being burned and families who are walking in major cities are being subjected to the most vile and disgusting, hateful language and images imaginable. If this is the kind of America that Robert DiNero is openly supporting? And if so, why would any American pay to see his movie,鈥滳omedian鈥? 
Robert De Niro gave anti-Donald Trump protesters across the United States his backing Friday as he spoke about how 鈥渄epressed鈥?the tycoon鈥檚 win in the presidential election had made him. 
The 73-year-old star was on the red carpet at the world premiere of his new film 鈥淭he Comedian鈥?in Los Angeles when he was asked how he was coping with Trump鈥檚 victory over Democratic rival Hillary Clinton. 
鈥淗ow am I doing? I鈥檓 very depressed,鈥?the famously laconic 鈥淩aging Bull鈥?actor told reporters. 
鈥淲e have to just wait and see how things go and keep our eyes ever vigilant on the new government.鈥?
Asked if he thought the protests were an appropriate response to the outcome of Tuesday鈥檚 election, he replied: 鈥淵es, absolutely. Things aren鈥檛 being done right.鈥?
Demonstrators took to the streets in Miami, Los Angeles, New York and other US cities for a third straight night on Friday. 
In Manhattan, they held signs reading 鈥淵our Wall Can鈥檛 Stand in Our Way鈥?鈥?a reference to the anti-immigration barrier the billionaire has promised to build on the US border with Mexico. 
De Niro hasn鈥檛 minced his words in his criticism of Trump, describing him as 鈥渁 punk,鈥?鈥渁 pig鈥?and 鈥渁n idiot.鈥?
鈥淚鈥檇 like to punch him in the face,鈥?he said before the election. 
Earlier in the day a town in southern Italy where De Niro鈥檚 grandparents came from offered the actor a means of escape. 
鈥淚f, after the disappointment of Trump, he wants to take refuge here, we are ready to welcome him,鈥?said Antonio Cerio, the mayor of Ferrazzano. 
鈥淭he Comedian,鈥?De Niro鈥檚 passion project which took him eight years to bring to the big screen, was part of this year鈥檚 program for the American Film Institute鈥檚 annual AFI Fest in Los Angeles. 鈥?Yahoo 
Here鈥檚 a clip of Trump-hater Megyn Kelly promoting DiNero鈥檚 hateful rant against Donald J. Trump:  ",english,2016-11-12T19:55:23.883+02:00,100percentfedup.com,US,25689,#BoycottComedian鈥OBERT DENIRO Wanted 鈥淭o Punch Trump In The Face鈥濃�upports Anti-Trump Rioters鈥ow Wants Americans To Support His New Movie [VIDEO],0,http://conservativeangle.com/wp-content/uploads/2016/11/2544872-thumb.jpg,0,1,0,0,0,bias,Negative
bb6352cab853dfeaf11d29a08cd5b1d0baf424a3,0,EdJenner,2016-11-14T08:35:23.027+02:00,TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks: 鈥淲hat Happened To America?鈥?[VIDEO],"David Wilcox, a 49 year old Chicago man who was brutally beaten by a mob of black Democrats asks, 鈥淲hat happened to America?鈥?Here is his very sad story:  ",english,2016-11-14T08:35:23.027+02:00,100percentfedup.com,US,25689,TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks: 鈥淲hat Happened To America?鈥?[VIDEO],0,http://conservativeangle.com/wp-content/uploads/2016/11/2548928-thumb.jpg,0,1,0,0,0,bias,Neutral
